,Date,GOOGL Price,GOOGL Percent Change Rate
0,04-07-2016,38.006,
1,04-08-2016,37.9735,99.91448718623376
2,04-11-2016,37.877,99.74587541311705
3,04-12-2016,38.216,100.89500224410592
4,04-13-2016,38.5955,100.99303956458027
5,04-14-2016,38.7695,100.4508297599461
6,04-15-2016,39.0,100.59453952204697
7,04-18-2016,39.384,100.98461538461538
8,04-19-2016,38.8125,98.54890310786107
9,04-20-2016,38.746,99.82866344605476
10,04-21-2016,39.0,100.65555154080421
11,04-22-2016,36.8885,94.58589743589744
12,04-25-2016,37.1105,100.60181357333586
13,04-26-2016,36.2685,97.73110036243112
14,04-27-2016,36.073,99.46096474902463
15,04-28-2016,35.253,97.72683170238128
16,04-29-2016,35.394,100.39996596034379
17,05-02-2016,35.7205,100.92247273549191
18,05-03-2016,35.422,99.16434540389972
19,05-04-2016,35.5685,100.4135847778217
20,05-05-2016,35.7355,100.46951656662497
21,05-06-2016,36.259,101.46492983167998
22,05-09-2016,36.4565,100.54469235224357
23,05-10-2016,36.969,101.40578497661596
24,05-11-2016,36.5275,98.80575617409181
25,05-12-2016,36.4035,99.66052973786871
26,05-13-2016,36.2415,99.55498784457538
27,05-16-2016,36.515,100.75465971331208
28,05-17-2016,36.0095,98.61563740928386
29,05-18-2016,36.089,100.22077507324454
30,05-19-2016,35.7655,99.10360497658569
31,05-20-2016,36.0855,100.89471697585661
32,05-23-2016,35.8625,99.38202325033599
33,05-24-2016,36.6515,102.20006971070059
34,05-25-2016,36.905,100.69164972784196
35,05-26-2016,36.8465,99.84148489364584
36,05-27-2016,37.38,101.44789871493902
37,05-31-2016,37.4425,100.16720171214553
38,06-01-2016,37.423,99.94792014422114
39,06-02-2016,37.2135,99.44018384416002
40,06-03-2016,36.793,98.87003372432046
41,06-06-2016,36.503,99.21180659364553
42,06-07-2016,36.5545,100.14108429444155
43,06-08-2016,37.1465,101.61949965120576
44,06-09-2016,37.126,99.94481310486854
45,06-10-2016,36.6595,98.74346818940904
46,06-13-2016,36.594,99.8213287142487
47,06-14-2016,36.6625,100.18718915669236
48,06-15-2016,36.6095,99.85543811796795
49,06-16-2016,36.2125,98.91558202106012
50,06-17-2016,35.2125,97.23852260959613
51,06-20-2016,35.3065,100.26695065672702
52,06-21-2016,35.444,100.38944670244857
53,06-22-2016,35.5235,100.22429748335402
54,06-23-2016,35.7435,100.61930834517996
55,06-24-2016,34.26,95.84959503126443
56,06-27-2016,34.057,99.40747227086983
57,06-28-2016,34.563,101.48574448718325
