,Date,NVDA Price,NVDA Percent Change Rate
0,04-07-2016,0.8858,
1,04-08-2016,0.8915,100.64348611424701
2,04-11-2016,0.897,100.61693774537297
3,04-12-2016,0.896,99.88851727982163
4,04-13-2016,0.9185,102.51116071428572
5,04-14-2016,0.921,100.27218290691344
6,04-15-2016,0.9283,100.79261672095548
7,04-18-2016,0.9243,99.56910481525368
8,04-19-2016,0.9078,98.21486530347289
9,04-20-2016,0.9113,100.38554747741793
10,04-21-2016,0.9103,99.89026665203555
11,04-22-2016,0.9068,99.61551136987806
12,04-25-2016,0.9113,100.4962505513895
13,04-26-2016,0.912,100.07681334357513
14,04-27-2016,0.9328,102.28070175438594
15,04-28-2016,0.905,97.01972555746141
16,04-29-2016,0.8883,98.15469613259667
17,05-02-2016,0.9,101.31712259371835
18,05-03-2016,0.8893,98.8111111111111
19,05-04-2016,0.869,97.71730574609244
20,05-05-2016,0.8742,100.59838895281933
21,05-06-2016,0.8832,101.02951269732327
22,05-09-2016,0.882,99.86413043478262
23,05-10-2016,0.899,101.92743764172336
24,05-11-2016,0.9015,100.27808676307006
25,05-12-2016,0.8893,98.64669994453689
26,05-13-2016,1.0245,115.20296862701001
27,05-16-2016,1.0548,102.9575402635432
28,05-17-2016,1.057,100.20857034508911
29,05-18-2016,1.084,102.55439924314098
30,05-19-2016,1.0887,100.43357933579335
31,05-20-2016,1.1083,101.80031229907229
32,05-23-2016,1.11,100.15338807182171
33,05-24-2016,1.134,102.16216216216213
34,05-25-2016,1.1293,99.58553791887125
35,05-26-2016,1.1413,101.06260515363499
36,05-27-2016,1.1475,100.54324016472445
37,05-31-2016,1.168,101.78649237472766
38,06-01-2016,1.1703,100.19691780821918
39,06-02-2016,1.1785,100.70067504058791
40,06-03-2016,1.162,98.5999151463725
41,06-06-2016,1.156,99.48364888123923
42,06-07-2016,1.1583,100.19896193771626
43,06-08-2016,1.1545,99.67193300526634
44,06-09-2016,1.1845,102.59852750108271
45,06-10-2016,1.155,97.5094976783453
46,06-13-2016,1.1698,101.28138528138528
47,06-14-2016,1.172,100.18806633612583
48,06-15-2016,1.184,101.02389078498292
49,06-16-2016,1.1888,100.40540540540542
50,06-17-2016,1.168,98.25033647375504
51,06-20-2016,1.189,101.79794520547946
52,06-21-2016,1.1818,99.39444911690497
53,06-22-2016,1.1808,99.91538331358944
54,06-23-2016,1.2123,102.66768292682926
55,06-24-2016,1.1432,94.30009073661635
56,06-27-2016,1.131,98.93282015395381
57,06-28-2016,1.1475,101.45888594164457
58,06-29-2016,1.1663,101.63834422657952
59,06-30-2016,1.1752,100.7630969733345
60,07-01-2016,1.1665,99.25970047651464
61,07-05-2016,1.1838,101.48306900985855
62,07-06-2016,1.1912,100.62510559216085
63,07-07-2016,1.2223,102.61081262592342
64,07-08-2016,1.2713,104.00883580135812
65,07-11-2016,1.3005,102.2968614803744
66,07-12-2016,1.32,101.49942329873127
67,07-13-2016,1.3195,99.9621212121212
68,07-14-2016,1.333,101.02311481621827
69,07-15-2016,1.3175,98.83720930232558
70,07-18-2016,1.3243,100.51612903225808
71,07-19-2016,1.338,101.03450879710036
72,07-20-2016,1.3555,101.30792227204782
73,07-21-2016,1.3305,98.1556621172999
74,07-22-2016,1.3668,102.72829763246901
75,07-25-2016,1.392,101.84372256365234
76,07-26-2016,1.4158,101.70977011494253
77,07-27-2016,1.4015,98.98997033479306
78,07-28-2016,1.4045,100.21405636817695
79,07-29-2016,1.4275,101.6375934496262
80,08-01-2016,1.4183,99.3555166374781
81,08-02-2016,1.401,98.78022985264049
82,08-03-2016,1.4047,100.26409707351891
83,08-04-2016,1.4308,101.85804798177547
84,08-05-2016,1.455,101.6913614760973
85,08-08-2016,1.4685,100.9278350515464
86,08-09-2016,1.4723,100.25876744977869
87,08-10-2016,1.4628,99.35475106975483
88,08-11-2016,1.4925,102.03035274815421
89,08-12-2016,1.576,105.59463986599667
90,08-15-2016,1.5745,99.90482233502537
91,08-16-2016,1.565,99.39663385201652
92,08-17-2016,1.5288,97.68690095846645
93,08-18-2016,1.5525,101.55023547880691
94,08-19-2016,1.5565,100.25764895330114
95,08-22-2016,1.563,100.41760359781561
96,08-23-2016,1.5728,100.62699936020474
97,08-24-2016,1.5485,98.45498474059004
98,08-25-2016,1.5383,99.34129803035195
99,08-26-2016,1.5508,100.81258532145876
100,08-29-2016,1.5498,99.93551715243746
101,08-30-2016,1.5408,99.41927990708479
102,08-31-2016,1.5335,99.52622014537903
103,09-01-2016,1.5788,102.95402673622431
104,09-02-2016,1.5633,99.0182417025589
105,09-06-2016,1.578,100.94031855689887
106,09-07-2016,1.5548,98.5297845373891
107,09-08-2016,1.566,100.72034988422949
108,09-09-2016,1.488,95.0191570881226
109,09-12-2016,1.5188,102.06989247311829
110,09-13-2016,1.4968,98.55148801685542
111,09-14-2016,1.51,100.88188134687333
112,09-15-2016,1.5673,103.79470198675496
113,09-16-2016,1.571,100.23607477828111
114,09-19-2016,1.5918,101.32399745385105
115,09-20-2016,1.5773,99.0890815429074
116,09-21-2016,1.6215,102.80225702149241
117,09-22-2016,1.6255,100.24668516805426
118,09-23-2016,1.6238,99.89541679483236
119,09-26-2016,1.6085,99.0577657346964
120,09-27-2016,1.6635,103.41933478396021
121,09-28-2016,1.6695,100.36068530207393
122,09-29-2016,1.685,100.92842168313867
123,09-30-2016,1.713,101.66172106824926
124,10-03-2016,1.7113,99.9007589025102
125,10-04-2016,1.7075,99.77794659031146
126,10-05-2016,1.7058,99.90043923865301
127,10-06-2016,1.6835,98.6926955094384
128,10-07-2016,1.6712,99.26937926937927
129,10-10-2016,1.6775,100.3769746290091
130,10-11-2016,1.6532,98.55141579731743
131,10-12-2016,1.6608,100.45971449310429
132,10-13-2016,1.6338,98.37427745664739
133,10-14-2016,1.6498,100.97931203329662
134,10-17-2016,1.6403,99.4241726269851
135,10-18-2016,1.6653,101.52411144302872
136,10-19-2016,1.6618,99.78982765868012
137,10-20-2016,1.6933,101.8955349620893
138,10-21-2016,1.6885,99.71652985294985
139,10-24-2016,1.7677,104.69055374592836
140,10-25-2016,1.7968,101.64620693556598
141,10-26-2016,1.804,100.40071237756013
142,10-27-2016,1.767,97.94900221729489
143,10-28-2016,1.764,99.83022071307302
144,10-31-2016,1.779,100.8503401360544
145,11-01-2016,1.7263,97.03766160764474
146,11-02-2016,1.719,99.5771302786306
147,11-03-2016,1.699,98.83653286794647
148,11-04-2016,1.6892,99.42319011183048
149,11-07-2016,1.7817,105.4759649538243
150,11-08-2016,1.779,99.84845933658865
151,11-09-2016,1.749,98.31365935919057
152,11-10-2016,1.6943,96.87249857061177
153,11-11-2016,2.1993,129.80581951248305
154,11-14-2016,2.091,95.07570590642477
155,11-15-2016,2.1547,103.04638928742227
156,11-16-2016,2.2908,106.3164245602636
157,11-17-2016,2.3098,100.82940457482104
158,11-18-2016,2.334,101.04770975842064
159,11-21-2016,2.3245,99.59297343616109
160,11-22-2016,2.3413,100.7227360722736
161,11-23-2016,2.3493,100.34169051381711
162,11-25-2016,2.354,100.20005959221896
163,11-28-2016,2.3527,99.94477485131691
164,11-29-2016,2.3313,99.09040676669359
165,11-30-2016,2.305,98.87187406168232
166,12-01-2016,2.191,95.05422993492407
167,12-02-2016,2.2113,100.926517571885
168,12-05-2016,2.297,103.87554831999277
169,12-06-2016,2.3348,101.64562472790595
170,12-07-2016,2.3767,101.7945862600651
171,12-08-2016,2.337,98.32961669541803
172,12-09-2016,2.2955,98.22421908429611
173,12-12-2016,2.2398,97.57351339577433
174,12-13-2016,2.2793,101.7635503169926
175,12-14-2016,2.4113,105.79125170008336
176,12-15-2016,2.4678,102.3431344088251
177,12-16-2016,2.5103,101.72218170029986
178,12-19-2016,2.5408,101.21499422379796
179,12-20-2016,2.6293,103.4831549118388
180,12-21-2016,2.6458,100.62754345262996
181,12-22-2016,2.6778,101.20946405624008
182,12-23-2016,2.7445,102.49085069833446
183,12-27-2016,2.933,106.8682820185826
184,12-28-2016,2.7313,93.12308216842824
185,12-29-2016,2.7858,101.99538681214074
186,12-30-2016,2.6685,95.78936032737454
187,01-03-2017,2.5503,95.57054525014054
188,01-04-2017,2.6098,102.33305885582087
189,01-05-2017,2.5435,97.45957544639435
190,01-06-2017,2.5775,101.33674071161786
191,01-09-2017,2.682,104.05431619786614
192,01-10-2017,2.6618,99.24683072334079
193,01-11-2017,2.629,98.76775114584116
194,01-12-2017,2.586,98.36439710916697
195,01-13-2017,2.5858,99.99226604795051
196,01-17-2017,2.5278,97.75698043158792
197,01-18-2017,2.5738,101.81976422185299
198,01-19-2017,2.629,102.14468878700755
199,01-20-2017,2.6003,98.9083301635603
200,01-23-2017,2.6273,101.03834172980042
201,01-24-2017,2.6833,102.13146576333119
202,01-25-2017,2.6948,100.42857675250623
203,01-26-2017,2.7413,101.72554549502746
204,01-27-2017,2.7942,101.92974136358663
205,01-30-2017,2.7505,98.4360460954835
206,01-31-2017,2.7295,99.23650245409924
207,02-01-2017,2.8488,104.37076387616781
208,02-02-2017,2.8848,101.26368997472619
209,02-03-2017,2.8595,99.12298946200777
210,02-06-2017,2.9328,102.56338520720405
211,02-07-2017,2.9783,101.55141843971631
212,02-08-2017,2.9653,99.56350938454823
213,02-09-2017,2.9095,98.11823424274102
214,02-10-2017,2.8405,97.62845849802372
215,02-13-2017,2.7095,95.38813589156838
216,02-14-2017,2.7195,100.36907178446208
217,02-15-2017,2.725,100.20224305938592
218,02-16-2017,2.6813,98.39633027522935
219,02-17-2017,2.6808,99.98135232909411
220,02-21-2017,2.7767,103.57729036108623
221,02-22-2017,2.769,99.72269240465302
222,02-23-2017,2.5122,90.72589382448537
223,02-24-2017,2.5365,100.96727967518511
224,02-27-2017,2.6103,102.90952099349498
