,Date,Solana Price,Solana Percent Change Rate
127,12-16-2020,1.7829,101.38178096212897
128,12-17-2020,1.68,94.22850412249706
129,12-18-2020,1.7014,101.27380952380953
130,12-19-2020,1.6707,98.19560362054779
131,12-20-2020,1.5635,93.58352786257257
132,12-21-2020,1.5331,98.05564438759194
133,12-22-2020,1.49,97.18870262866088
134,12-23-2020,1.198,80.40268456375838
135,12-24-2020,1.3612,113.62270450751252
136,12-25-2020,1.4464,106.25918307375844
137,12-26-2020,1.3258,91.6620575221239
138,12-27-2020,1.3037,98.33308191280736
139,12-28-2020,1.5172,116.37646697859938
140,12-29-2020,1.6704,110.09754811494858
141,12-30-2020,1.535,91.8941570881226
142,12-31-2020,1.5073,98.19543973941369
143,01-01-2021,1.8421,122.21190207656075
144,01-02-2021,1.7999,97.70913631181803
145,01-03-2021,2.1779,121.00116673148509
146,01-04-2021,2.4909,114.37164240782405
147,01-05-2021,2.1636,86.860171022522
148,01-06-2021,1.9414,89.7300794971344
149,01-07-2021,2.3635,121.74204182548678
150,01-08-2021,3.2214,136.2978633382695
151,01-09-2021,3.3829,105.0133482336872
152,01-10-2021,3.449,101.95394484022584
153,01-11-2021,3.1016,89.92751522180342
154,01-12-2021,3.6354,117.21047201444416
155,01-13-2021,3.5242,96.94118941519501
156,01-14-2021,3.2921,93.41410816639237
157,01-15-2021,3.2475,98.64524163907537
158,01-16-2021,3.4247,105.45650500384912
159,01-17-2021,3.8268,111.74117440943732
160,01-18-2021,3.7868,98.95474025295286
161,01-19-2021,3.6287,95.82497095172705
162,01-20-2021,3.7166,102.4223551134015
163,01-21-2021,2.9899,80.44718290911047
164,01-22-2021,3.3352,111.54888123348607
165,01-23-2021,3.5079,105.17810026385223
166,01-24-2021,3.6278,103.41799937284418
167,01-25-2021,3.7038,102.09493356855394
168,01-26-2021,4.041,109.1041632917544
169,01-27-2021,3.675,90.94283593170006
170,01-28-2021,3.81,103.6734693877551
171,01-29-2021,3.8293,100.50656167979002
172,01-30-2021,4.228,110.41182461546497
173,01-31-2021,4.2525,100.57947019867551
174,02-01-2021,4.6148,108.51969429747206
175,02-02-2021,5.2331,113.39819710496664
176,02-03-2021,5.7311,109.51634786264354
177,02-04-2021,6.4085,111.81972047250966
178,02-05-2021,6.7005,104.55644846687993
179,02-06-2021,6.1225,91.37377807626295
180,02-07-2021,6.6976,109.39322172315231
181,02-08-2021,7.855,117.2808170090779
182,02-09-2021,7.8005,99.30617441120305
183,02-10-2021,9.09,116.53099160310236
184,02-11-2021,9.2004,101.21452145214522
185,02-12-2021,9.2,99.99565236294073
186,02-13-2021,8.7441,95.04456521739131
187,02-14-2021,8.7158,99.67635319815648
188,02-15-2021,8.8516,101.5580899056885
189,02-16-2021,8.3002,93.77061774142528
190,02-17-2021,8.2357,99.22291029131827
191,02-18-2021,8.9771,109.00227060237746
192,02-19-2021,11.4912,128.00570340087555
193,02-20-2021,9.9869,86.90911306042885
194,02-21-2021,11.0753,110.89827674253272
195,02-22-2021,14.4191,130.19150722779517
196,02-23-2021,15.2244,105.58495329112081
197,02-24-2021,17.1691,112.77357399963218
198,02-25-2021,13.8442,80.63439551286905
199,02-26-2021,13.5962,98.20863610753962
200,02-27-2021,13.1916,97.02416851767406
201,02-28-2021,13.0887,99.21995815518967
202,03-01-2021,14.9855,114.49188995087367
203,03-02-2021,13.9438,93.04861365987121
204,03-03-2021,14.0742,100.9351826618282
205,03-04-2021,13.0508,92.72853874465335
206,03-05-2021,12.5382,96.07227143163637
207,03-06-2021,13.0421,104.01891818602351
208,03-07-2021,13.8174,105.94459481218514
209,03-08-2021,13.6028,98.44688581064456
210,03-09-2021,14.839,109.08783485752933
211,03-10-2021,14.2048,95.72612709751331
212,03-11-2021,16.031,112.8562176165803
213,03-12-2021,14.5597,90.82215707067557
214,03-13-2021,15.3033,105.10724808890292
215,03-14-2021,14.4605,94.492691118909
216,03-15-2021,14.1577,97.90601984716987
217,03-16-2021,13.6392,96.3376819681163
218,03-17-2021,14.2018,104.12487535925861
219,03-18-2021,14.204,100.01549099409934
220,03-19-2021,14.1552,99.65643480709659
221,03-20-2021,14.1894,100.24160732451676
222,03-21-2021,14.3372,101.04162261970204
223,03-22-2021,14.7964,103.202856903719
224,03-23-2021,14.1552,95.66651347625098
225,03-24-2021,13.5973,96.05869221204928
226,03-25-2021,12.9787,95.45056739205577
227,03-26-2021,14.7664,113.77410680576638
228,03-27-2021,16.4589,111.46183226785134
229,03-28-2021,18.0645,109.75520842826676
230,03-29-2021,18.9504,104.90409366436934
231,03-30-2021,19.0685,100.62320584262075
232,03-31-2021,19.3861,101.66557411437711
233,04-01-2021,19.0443,98.2368810642677
234,04-02-2021,19.7501,103.70609578719092
235,04-03-2021,22.5,113.92347380519593
236,04-04-2021,23.7755,105.6688888888889
237,04-05-2021,22.9717,96.61920884944585
238,04-06-2021,25.0548,109.06811424491876
239,04-07-2021,26.5385,105.92181937193672
240,04-08-2021,26.9384,101.50686738135164
241,04-09-2021,27.6172,102.51982300359337
242,04-10-2021,26.8021,97.04857842214271
243,04-11-2021,27.8517,103.91611105099973
244,04-12-2021,28.5424,102.47992043573642
245,04-13-2021,27.4507,96.17516396659006
246,04-14-2021,26.4067,96.19681829607259
247,04-15-2021,27.7816,105.20663316506796
248,04-16-2021,25.2996,91.06602931436635
249,04-17-2021,24.85,98.22289680469257
250,04-18-2021,32.3358,130.12394366197182
251,04-19-2021,31.4711,97.32587410857316
252,04-20-2021,31.7028,100.73623101829934
253,04-21-2021,32.5534,102.68304376900463
254,04-22-2021,38.9,119.49596662714185
255,04-23-2021,37.3893,96.11645244215939
256,04-24-2021,40.8401,109.22937845854295
257,04-25-2021,47.405,116.07464232457805
258,04-26-2021,43.878,92.55985655521569
259,04-27-2021,43.147,98.33401704726742
260,04-28-2021,44.833,103.90757178946393
261,04-29-2021,42.484,94.76055584056388
262,04-30-2021,42.786,100.71085585161472
263,05-01-2021,49.67,116.08937502921518
264,05-02-2021,46.897,94.41715321119388
265,05-03-2021,45.912,97.89965242979295
266,05-04-2021,42.636,92.86461055933091
267,05-05-2021,44.98,105.49770147293364
268,05-06-2021,43.496,96.70075589150736
269,05-07-2021,43.182,99.27809453742873
270,05-08-2021,45.612,105.62734472696957
271,05-09-2021,44.33,97.18933613961237
272,05-10-2021,42.854,96.6704263478457
273,05-11-2021,44.538,103.92962150557707
274,05-12-2021,43.709,98.13866810364185
275,05-13-2021,41.049,93.91429682674048
276,05-14-2021,42.7,104.02202246096131
