datetime,open,high,low,close,volume,,,,,
8/11/2020,2.85,3.5208,2.8433,3.2985,1552384.78,,,,,
8/12/2020,3.2985,3.9289,3.08,3.7558,1737042.95,,,,,
8/13/2020,3.75,4.1387,3.5003,3.73,1685759.24,,,,,
8/14/2020,3.7207,3.7676,3.321,3.4099,1474161.79,,,,,
8/15/2020,3.4181,3.74,3.15,3.173,1070233.2,,,,,
8/16/2020,3.173,3.4907,3.12,3.3885,668106.53,,,,, 
8/17/2020,3.3885,3.3952,3.1,3.11,729413.64,,,,,
8/18/2020,3.11,3.7092,2.8105,3.3407,2713115.94,,,,,
8/19/2020,3.334,3.49,2.8,2.8868,1433243.76,,,,,
8/20/2020,2.8962,3.445,2.8871,3.2038,1277827.32,,,,,
8/21/2020,3.2038,3.24,2.89,2.9317,1131895.9,,,,,
8/22/2020,2.9213,3.2,2.7431,3.0126,1169417.78,,,,,
8/23/2020,3.0224,3.4,3.0014,3.25,1198036.69,,,,,
8/24/2020,3.2658,3.62,3.21,3.3405,1315196.06,,,,,
8/25/2020,3.3406,3.3654,3.0001,3.25,1149187.37,,,,,
8/26/2020,3.2576,3.7999,3.1809,3.5684,2290030.56,,,,,
8/27/2020,3.5557,3.8575,3.2434,3.4501,2412974.8,,,,,
8/28/2020,3.4503,4.3091,3.4503,4.0063,2581936.84,,,,,
8/29/2020,4.007,4.1121,3.7748,3.9535,1342844.2,,,,,
8/30/2020,3.9531,4.7117,3.9,4.4309,1815681.99,,,,,
8/31/2020,4.4127,4.8865,4.1,4.7435,1497129.12,,,,,
9/1/2020,4.7432,4.9475,4.3,4.3397,1267574.76,,,,,
9/2/2020,4.3213,4.3506,3.66,4.17,2002058.36,,,,,
9/3/2020,4.17,4.459,3.4772,3.5051,3275612.26,,,,,
9/4/2020,3.5062,3.8346,3.1739,3.5301,2052197.24,,,,,
9/5/2020,3.5301,3.6637,2.0926,2.6052,4426267.38,,,,,
9/6/2020,2.6119,3.18,2.2575,3.0941,2898758.91,,,,,
9/7/2020,3.0785,3.1983,2.38,2.9237,2680083.17,,,,,
9/8/2020,2.9237,2.9499,2.4,2.468,1626389.7,,,,,
