,Date,TSLA Price,TSLA Percent Change Rate
0,04-07-2016,17.1467,
1,04-08-2016,16.6713,97.22745484553879
2,04-11-2016,16.6613,99.94001667536426
3,04-12-2016,16.5213,99.15972943287738
4,04-13-2016,16.9687,102.70801934472469
5,04-14-2016,16.7907,98.95100980039722
6,04-15-2016,16.9673,101.05177270751071
7,04-18-2016,16.9253,99.75246503568627
8,04-19-2016,16.4913,97.43579138922205
9,04-20-2016,16.6647,101.05146349893582
10,04-21-2016,16.5527,99.32792069464197
11,04-22-2016,16.9167,102.19903701510931
12,04-25-2016,16.788,99.23921332174716
13,04-26-2016,16.916,100.76244936859662
14,04-27-2016,16.7647,99.1055805154883
15,04-28-2016,16.514,98.50459596652489
16,04-29-2016,16.0507,97.19450163497638
17,05-02-2016,16.12,100.43175687041688
18,05-03-2016,15.488,96.07940446650123
19,05-04-2016,14.8373,95.79868285123968
20,05-05-2016,14.102,95.04424659473084
21,05-06-2016,14.3287,101.60757339384483
22,05-09-2016,13.928,97.2035146244949
23,05-10-2016,13.9127,99.89014933946007
24,05-11-2016,13.9307,100.12937819402417
25,05-12-2016,13.8187,99.1960203004874
26,05-13-2016,13.8407,100.15920455614493
27,05-16-2016,13.886,100.32729558476088
28,05-17-2016,13.644,98.25723750540114
29,05-18-2016,14.078,103.18088537085899
30,05-19-2016,14.3473,101.91291376615999
31,05-20-2016,14.6853,102.35584395670266
32,05-23-2016,14.4147,98.15734101448386
33,05-24-2016,14.5273,100.78114702352461
34,05-25-2016,14.6387,100.7668321023177
35,05-26-2016,15.008,102.52276499962427
36,05-27-2016,14.8693,99.07582622601281
37,05-31-2016,14.882,100.08541088013558
38,06-01-2016,14.6373,98.35573175648435
39,06-02-2016,14.5973,99.72672555730907
40,06-03-2016,14.5993,100.01370116391386
41,06-06-2016,14.712,100.77195481975163
42,06-07-2016,15.4893,105.28344208809135
43,06-08-2016,15.7013,101.36868677086764
44,06-09-2016,15.2907,97.3849299102622
45,06-10-2016,14.586,95.3913162902941
46,06-13-2016,14.5247,99.57973399149868
47,06-14-2016,14.3307,98.66434418611057
48,06-15-2016,14.5133,101.27418758330018
49,06-16-2016,14.5287,100.1061095684648
50,06-17-2016,14.3647,98.87119976322725
51,06-20-2016,14.6467,101.96314576705396
52,06-21-2016,14.6407,99.95903514102153
53,06-22-2016,13.1107,89.54968000163926
54,06-23-2016,13.0933,99.86728397415851
55,06-24-2016,12.8767,98.34571880274645
56,06-27-2016,13.2367,102.79574735763046
57,06-28-2016,13.4527,101.63182666374549
58,06-29-2016,14.0127,104.162733131639
59,06-30-2016,14.152,100.99409821090866
60,07-01-2016,14.4333,101.98770491803279
61,07-05-2016,14.2653,98.83602502546196
62,07-06-2016,14.296,100.21520753156258
63,07-07-2016,14.396,100.69949636261893
64,07-08-2016,14.452,100.38899694359544
65,07-11-2016,14.9853,103.69014669249933
66,07-12-2016,14.9767,99.94261042488304
67,07-13-2016,14.8353,99.05586677973119
68,07-14-2016,14.7687,99.55107075691089
69,07-15-2016,14.6933,99.48946081916486
70,07-18-2016,15.0833,102.65427099426267
71,07-19-2016,15.0173,99.56242997222094
72,07-20-2016,15.224,101.37641253754003
73,07-21-2016,14.70,96.5580662112454
74,07-22-2016,14.818,100.80272108843538
75,07-25-2016,15.334,103.48225131596706
76,07-26-2016,15.3007,99.78283552889006
77,07-27-2016,15.2327,99.55557588868483
78,07-28-2016,15.374,100.92760968180296
79,07-29-2016,15.6527,101.81280083257447
80,08-01-2016,15.334,97.96392954570138
81,08-02-2016,15.1467,98.77853136820139
82,08-03-2016,15.0527,99.37940277420164
83,08-04-2016,15.374,102.13450078723419
84,08-05-2016,15.3353,99.74827631065435
85,08-08-2016,15.0773,98.31760708952547
86,08-09-2016,15.272,101.29134526738872
87,08-10-2016,15.0433,98.50248821372446
88,08-11-2016,14.994,99.67227935359927
89,08-12-2016,15.0407,100.31145791649993
90,08-15-2016,15.0393,99.9906919225834
91,08-16-2016,14.9073,99.12229957511319
92,08-17-2016,14.8827,99.83498017749693
93,08-18-2016,14.9007,100.12094579612571
94,08-19-2016,15.00,100.66641164509049
95,08-22-2016,14.862,99.08
96,08-23-2016,14.9893,100.85654689812947
97,08-24-2016,14.8413,99.01262900869287
98,08-25-2016,14.7307,99.25478226300932
99,08-26-2016,14.666,99.56078122560366
100,08-29-2016,14.3467,97.82285558434474
101,08-30-2016,14.0893,98.20585918713014
102,08-31-2016,14.134,100.31726203572924
103,09-01-2016,13.3847,94.6985991226829
104,09-02-2016,13.1853,98.51023930308486
105,09-06-2016,13.522,102.55360135908928
106,09-07-2016,13.4473,99.44756692796923
107,09-08-2016,13.1573,97.84343325425921
108,09-09-2016,12.9647,98.53617383505735
109,09-12-2016,13.22,101.96919327095884
110,09-13-2016,13.07,98.86535552193646
111,09-14-2016,13.094,100.18362662586074
112,09-15-2016,13.3613,102.04139300442951
113,09-16-2016,13.6933,102.48478815684103
114,09-19-2016,13.756,100.45788816428471
115,09-20-2016,13.6427,99.17635940680431
116,09-21-2016,13.6813,100.28293519611222
117,09-22-2016,13.762,100.58985622711292
118,09-23-2016,13.83,100.49411422758318
119,09-26-2016,13.9327,100.74258857556038
120,09-27-2016,13.7207,98.47839973587317
121,09-28-2016,13.7513,100.22302069136416
122,09-29-2016,13.38,97.29989164660796
123,09-30-2016,13.602,101.65919282511211
124,10-03-2016,14.2467,104.73974415527127
125,10-04-2016,14.094,98.92817284002611
126,10-05-2016,13.8973,98.60437065417909
127,10-06-2016,13.40,96.42160707475553
128,10-07-2016,13.1073,97.81567164179104
129,10-10-2016,13.3967,102.2079299321752
130,10-11-2016,13.34,99.57676144125045
131,10-12-2016,13.434,100.70464767616191
132,10-13-2016,13.3493,99.36951019800506
133,10-14-2016,13.1007,98.13773006824327
134,10-17-2016,12.9307,98.70235941590907
135,10-18-2016,13.2733,102.64950853395409
136,10-19-2016,13.5707,102.24058824858928
137,10-20-2016,13.2733,97.80851393074786
138,10-21-2016,13.3393,100.49723881777703
139,10-24-2016,13.5173,101.33440285472253
140,10-25-2016,13.4893,99.79285804117686
141,10-26-2016,13.4827,99.9510723314034
142,10-27-2016,13.6007,100.87519562105514
143,10-28-2016,13.3313,98.01921959899124
144,10-31-2016,13.182,98.88007921207983
145,11-01-2016,12.7193,96.48991048399333
