Date,AMZN Percent Change Rate,APPL Percent Change Rate,Bitcoin Percent Change Rate,DOW Percent Change Rate,Ethereum Percent Change Rate,META Percent Change Rate,Solana Percent Change Rate,MSFT Percent Change Rate,S&P 500 Composite Percent Change Rate,NASDAQ Composite Percent Change Rate,S&P Gold Percent Change Rate,NVDA Percent Change Rate,TSLA Percent Change Rate,Oil Percent Change Rate,XMAG Percent Change Rate,Silver Percent Change Rate
2025-10-23,101.4406974076623,100.4372218997872,101.76995231551082,100.3095057545104,101.34101768952031,100.08044613517676,104.46276744071604,100.0038421639067,100.58273875272413,100.88564844945556,101.97261408334072,101.04282227645884,102.2803380641046,106.4868336544637,100.6570952788154,102.14550869319017
2025-10-23,101.4406974076623,100.4372218997872,101.76995231551082,100.3095057545104,101.34101768952031,100.08044613517676,104.46276744071604,100.0038421639067,100.58273875272413,100.88564844945556,101.97261408334072,101.04282227645884,102.2803380641046,106.4868336544637,100.6570952788154,102.15123983894054
2025-10-24,101.41119001311682,101.24817012096464,100.65796628602502,101.01104941284416,101.2021077488644,100.59400544959128,101.29806912218076,100.58590748424774,100.79024225191588,101.14668421832636,99.81189923765332,102.2507685551164,96.60118490801372,99.21592279855248,100.64833445115136,99.75772010512485
2025-10-24,101.41119001311682,101.24817012096464,100.65796628602502,101.01104941284416,101.2021077488644,100.59400544959128,101.29806912218076,100.58590748424774,100.79024225191588,101.14668421832636,99.81189923765332,102.2507685551164,96.60118490801372,99.21592279855248,100.64833445115136,99.78342571344604
2025-10-25,,,100.23049358039364,,100.05323959089576,,99.69410901500004,,,,,,,,,
2025-10-26,,,103.27967517651496,,107.01395713565564,,105.75149916295656,,,,,,,,,
2025-10-27,101.23098880513804,102.27912639829542,98.99889539283136,100.71487097708987,97.2573473257471,101.68752370117558,98.4841059018418,101.51066633563148,101.22900191263146,101.86422074331811,97.1457747005056,102.80790293138624,104.31153739739923,99.5744680851064,100.54331408262992,96.27053060552424
2025-10-27,101.23098880513804,102.27912639829542,98.99889539283136,100.71487097708987,97.2573473257471,101.68752370117558,98.4841059018418,101.51066633563148,101.22900191263146,101.86422074331811,97.1457747005056,102.80790293138624,104.31153739739923,99.5744680851064,100.54331408262992,96.24821987186996
2025-10-28,101.00453804467551,100.07068189427476,98.87455852119976,100.34027004965236,97.78984576621536,100.0825763831544,96.5343750777576,101.98487357013848,100.22879467532393,100.80393578667083,99.08943297867792,104.98198339338867,101.79700278502276,97.72588522588524,99.61559364271416,101.1758669346218
2025-10-28,101.00453804467551,100.07068189427476,98.87455852119976,100.34027004965236,97.78984576621536,100.0825763831544,96.5343750777576,101.98487357013848,100.22879467532393,100.80393578667083,99.08943297867792,104.98198339338867,101.79700278502276,97.72588522588524,99.61559364271416,101.20913991395412
2025-10-29,100.45801526717555,100.26022304832712,98.28862370158431,99.84410886848023,98.30898539123474,100.03060789949964,101.43776967847369,99.90407142988911,99.99564642593336,100.54970120646362,100.4420027684466,102.98960354175992,100.2084464227554,101.53053256286115,99.25039808740624,101.26472291010444
