,Date,MSFT Price,MSFT Percent Change Rate
0,04-07-2016,54.46,
1,04-08-2016,54.42,99.92655159750275
2,04-11-2016,54.31,99.79786843072401
3,04-12-2016,54.65,100.62603572086171
4,04-13-2016,55.35,101.28087831655994
5,04-14-2016,55.36,100.01806684733513
6,04-15-2016,55.65,100.52384393063582
7,04-18-2016,56.46,101.455525606469
8,04-19-2016,56.39,99.87601842012043
9,04-20-2016,55.59,98.58130874268488
10,04-21-2016,55.78,100.34178809138335
11,04-22-2016,51.78,92.82897095733237
12,04-25-2016,52.11,100.63731170336037
13,04-26-2016,51.44,98.71425829975053
14,04-27-2016,50.94,99.02799377916018
15,04-28-2016,49.9,97.95838241067923
16,04-29-2016,49.87,99.93987975951903
17,05-02-2016,50.61,101.4838580308803
18,05-03-2016,49.78,98.36000790357637
19,05-04-2016,49.87,100.18079550020087
20,05-05-2016,49.94,100.14036494886705
21,05-06-2016,50.39,100.90108129755708
22,05-09-2016,50.07,99.36495336376265
23,05-10-2016,51.02,101.89734371879369
24,05-11-2016,51.05,100.05880047040374
25,05-12-2016,51.51,100.90107737512244
26,05-13-2016,51.08,99.16521063871093
27,05-16-2016,51.83,101.46828504306968
28,05-17-2016,50.51,97.45321242523634
29,05-18-2016,50.81,100.59394179370422
30,05-19-2016,50.32,99.03562290887619
31,05-20-2016,50.62,100.59618441971384
32,05-23-2016,50.03,98.8344527854603
33,05-24-2016,51.59,103.1181291225265
34,05-25-2016,52.12,101.02733087807714
35,05-26-2016,51.89,99.55871066768995
36,05-27-2016,52.32,100.82867604548082
37,05-31-2016,53.0,101.29969418960245
38,06-01-2016,52.85,99.71698113207547
39,06-02-2016,52.48,99.29990539262062
40,06-03-2016,51.79,98.68521341463415
41,06-06-2016,52.13,100.65649739331919
42,06-07-2016,52.1,99.94245156339919
43,06-08-2016,52.04,99.88483685220729
44,06-09-2016,51.62,99.19292851652574
45,06-10-2016,51.48,99.72878729174738
46,06-13-2016,50.14,97.39704739704742
47,06-14-2016,49.83,99.38173115277223
48,06-15-2016,49.69,99.71904475215734
49,06-16-2016,50.39,101.40873415174082
50,06-17-2016,50.13,99.48402460805715
51,06-20-2016,50.07,99.88031119090365
52,06-21-2016,51.19,102.23686838426202
53,06-22-2016,50.99,99.60929869115063
