,Month,CPI Rate,CPI Percent Change Rate
0,01-01-1947,21.48,
1,02-01-1947,21.62,100.65176908752329
2,03-01-1947,22.0,101.75763182238668
3,04-01-1947,22.0,100.0
4,05-01-1947,21.95,99.77272727272727
5,06-01-1947,22.08,100.59225512528474
6,07-01-1947,22.23,100.67934782608697
7,08-01-1947,22.4,100.76473234367971
8,09-01-1947,22.84,101.96428571428572
9,10-01-1947,22.91,100.30647985989492
10,11-01-1947,23.06,100.65473592317764
11,12-01-1947,23.41,101.51777970511708
12,01-01-1948,23.68,101.15335326783426
13,02-01-1948,23.67,99.95777027027027
14,03-01-1948,23.5,99.28179129700041
15,04-01-1948,23.82,101.36170212765958
16,05-01-1948,24.01,100.79764903442485
17,06-01-1948,24.15,100.58309037900874
18,07-01-1948,24.4,101.0351966873706
19,08-01-1948,24.43,100.12295081967213
20,09-01-1948,24.36,99.7134670487106
21,10-01-1948,24.31,99.79474548440065
22,11-01-1948,24.16,99.38296997120527
23,12-01-1948,24.05,99.54470198675497
24,01-01-1949,24.01,99.83367983367984
25,02-01-1949,23.91,99.58350687213661
26,03-01-1949,23.91,100.0
27,04-01-1949,23.92,100.0418235048097
28,05-01-1949,23.91,99.95819397993311
29,06-01-1949,23.92,100.0418235048097
30,07-01-1949,23.7,99.08026755852842
31,08-01-1949,23.7,100.0
32,09-01-1949,23.75,100.21097046413503
33,10-01-1949,23.67,99.66315789473686
34,11-01-1949,23.7,100.12674271229403
35,12-01-1949,23.61,99.62025316455696
36,01-01-1950,23.51,99.57645065650149
37,02-01-1950,23.61,100.42535091450446
38,03-01-1950,23.64,100.12706480304956
39,04-01-1950,23.65,100.04230118443316
40,05-01-1950,23.77,100.50739957716704
41,06-01-1950,23.88,100.46276819520403
42,07-01-1950,24.07,100.7956448911223
43,08-01-1950,24.2,100.54009140008309
44,09-01-1950,24.34,100.57851239669422
45,10-01-1950,24.5,100.65735414954806
46,11-01-1950,24.6,100.40816326530613
47,12-01-1950,24.98,101.54471544715446
48,01-01-1951,25.38,101.60128102481984
49,02-01-1951,25.83,101.77304964539007
50,03-01-1951,25.88,100.19357336430508
51,04-01-1951,25.92,100.1545595054096
52,05-01-1951,25.99,100.27006172839505
53,06-01-1951,25.93,99.76914197768373
54,07-01-1951,25.91,99.92286926340147
55,08-01-1951,25.86,99.80702431493631
56,09-01-1951,26.03,100.65738592420728
57,10-01-1951,26.16,100.49942374183634
58,11-01-1951,26.32,100.61162079510704
59,12-01-1951,26.47,100.56990881458967
60,01-01-1952,26.45,99.92444276539479
61,02-01-1952,26.41,99.84877126654065
62,03-01-1952,26.39,99.92427110942825
63,04-01-1952,26.46,100.26525198938991
64,05-01-1952,26.47,100.03779289493575
65,06-01-1952,26.53,100.22667170381565
66,07-01-1952,26.68,100.56539766302299
67,08-01-1952,26.69,100.03748125937034
68,09-01-1952,26.63,99.77519670288497
69,10-01-1952,26.69,100.22530980097635
70,11-01-1952,26.69,100.0
71,12-01-1952,26.71,100.07493443237168
72,01-01-1953,26.64,99.7379258704605
73,02-01-1953,26.59,99.81231231231232
74,03-01-1953,26.63,100.15043249341858
75,04-01-1953,26.69,100.22530980097635
76,05-01-1953,26.7,100.03746721618583
77,06-01-1953,26.77,100.26217228464421
78,07-01-1953,26.79,100.07471049682479
79,08-01-1953,26.85,100.22396416573349
80,09-01-1953,26.89,100.1489757914339
81,10-01-1953,26.95,100.22313127556713
82,11-01-1953,26.85,99.62894248608535
83,12-01-1953,26.87,100.07448789571694
84,01-01-1954,26.94,100.26051358392259
85,02-01-1954,26.99,100.1855976243504
86,03-01-1954,26.93,99.77769544275658
87,04-01-1954,26.86,99.74006683995545
88,05-01-1954,26.93,100.26061057334326
89,06-01-1954,26.94,100.0371333085778
90,07-01-1954,26.86,99.70304380103934
91,08-01-1954,26.85,99.96276991809383
92,09-01-1954,26.81,99.8510242085661
93,10-01-1954,26.72,99.66430436404326
94,11-01-1954,26.78,100.22455089820359
95,12-01-1954,26.77,99.96265870052278
96,01-01-1955,26.77,100.0
97,02-01-1955,26.82,100.18677624206201
98,03-01-1955,26.79,99.88814317673378
99,04-01-1955,26.79,100.0
100,05-01-1955,26.77,99.92534527808884
101,06-01-1955,26.71,99.7758685095256
102,07-01-1955,26.76,100.18719580681392
103,08-01-1955,26.72,99.85052316890881
104,09-01-1955,26.85,100.4865269461078
105,10-01-1955,26.82,99.88826815642457
106,11-01-1955,26.88,100.22371364653245
107,12-01-1955,26.87,99.96279761904762
108,01-01-1956,26.83,99.85113509490137
109,02-01-1956,26.86,100.11181513231458
110,03-01-1956,26.89,100.11169024571855
111,04-01-1956,26.93,100.1487541837114
112,05-01-1956,27.03,100.37133308577795
113,06-01-1956,27.15,100.44395116537179
114,07-01-1956,27.29,100.51565377532228
115,08-01-1956,27.31,100.07328691828508
116,09-01-1956,27.35,100.14646649578908
117,10-01-1956,27.51,100.58500914076782
118,11-01-1956,27.51,100.0
119,12-01-1956,27.63,100.43620501635769
120,01-01-1957,27.67,100.14477017734347
121,02-01-1957,27.8,100.46982291290205
122,03-01-1957,27.86,100.21582733812949
123,04-01-1957,27.93,100.25125628140702
124,05-01-1957,28.0,100.25062656641603
125,06-01-1957,28.11,100.39285714285715
126,07-01-1957,28.19,100.28459622909998
127,08-01-1957,28.28,100.31926214969849
128,09-01-1957,28.32,100.14144271570014
129,10-01-1957,28.32,100.0
130,11-01-1957,28.41,100.31779661016948
131,12-01-1957,28.47,100.21119324181626
132,01-01-1958,28.64,100.59711977520197
133,02-01-1958,28.7,100.20949720670392
134,03-01-1958,28.87,100.59233449477351
135,04-01-1958,28.94,100.24246622791826
136,05-01-1958,28.94,100.0
137,06-01-1958,28.91,99.89633724948168
138,07-01-1958,28.89,99.93081978554133
139,08-01-1958,28.94,100.17307026652821
140,09-01-1958,28.91,99.89633724948168
141,10-01-1958,28.91,100.0
142,11-01-1958,28.95,100.13836042891732
143,12-01-1958,28.97,100.06908462867013
144,01-01-1959,29.01,100.13807386952021
145,02-01-1959,29.0,99.96552912788694
146,03-01-1959,28.97,99.89655172413792
147,04-01-1959,28.98,100.03451846738005
148,05-01-1959,29.04,100.20703933747413
149,06-01-1959,29.11,100.24104683195591
150,07-01-1959,29.15,100.13740982480248
151,08-01-1959,29.18,100.10291595197256
152,09-01-1959,29.25,100.23989033584648
153,10-01-1959,29.35,100.34188034188034
154,11-01-1959,29.35,100.0
155,12-01-1959,29.41,100.20442930153321
156,01-01-1960,29.37,99.86399183951036
157,02-01-1960,29.41,100.13619339462036
158,03-01-1960,29.41,100.0
159,04-01-1960,29.54,100.44202652159129
160,05-01-1960,29.57,100.10155721056195
161,06-01-1960,29.61,100.13527223537369
162,07-01-1960,29.55,99.79736575481257
163,08-01-1960,29.61,100.20304568527918
164,09-01-1960,29.61,100.0
165,10-01-1960,29.75,100.47281323877068
166,11-01-1960,29.78,100.10084033613447
167,12-01-1960,29.81,100.1007387508395
168,01-01-1961,29.84,100.10063737001008
169,02-01-1961,29.84,100.0
170,03-01-1961,29.84,100.0
171,04-01-1961,29.81,99.8994638069705
172,05-01-1961,29.84,100.10063737001008
173,06-01-1961,29.84,100.0
174,07-01-1961,29.92,100.26809651474531
175,08-01-1961,29.94,100.0668449197861
176,09-01-1961,29.98,100.13360053440215
177,10-01-1961,29.98,100.0
178,11-01-1961,29.98,100.0
179,12-01-1961,30.01,100.10006671114076
180,01-01-1962,30.04,100.09996667777408
181,02-01-1962,30.11,100.23302263648468
182,03-01-1962,30.17,100.19926934573232
183,04-01-1962,30.21,100.13258203513425
184,05-01-1962,30.24,100.09930486593844
185,06-01-1962,30.21,99.90079365079366
186,07-01-1962,30.22,100.03310162197947
187,08-01-1962,30.28,100.19854401058903
188,09-01-1962,30.42,100.46235138705417
189,10-01-1962,30.38,99.86850756081525
190,11-01-1962,30.38,100.0
191,12-01-1962,30.38,100.0
192,01-01-1963,30.44,100.1974983541804
193,02-01-1963,30.48,100.13140604467804
194,03-01-1963,30.51,100.0984251968504
195,04-01-1963,30.48,99.9016715830875
196,05-01-1963,30.51,100.0984251968504
197,06-01-1963,30.61,100.32776138970829
198,07-01-1963,30.69,100.26135249918329
199,08-01-1963,30.75,100.19550342130987
200,09-01-1963,30.72,99.90243902439025
201,10-01-1963,30.75,100.09765625
202,11-01-1963,30.78,100.09756097560975
203,12-01-1963,30.88,100.32488628979857
204,01-01-1964,30.94,100.19430051813471
205,02-01-1964,30.91,99.90303813833225
206,03-01-1964,30.94,100.0970559689421
207,04-01-1964,30.95,100.03232062055591
208,05-01-1964,30.98,100.09693053311794
209,06-01-1964,31.01,100.09683666881858
210,07-01-1964,31.02,100.03224766204451
211,08-01-1964,31.05,100.09671179883945
